-c a33 -d AC -r DA_CTL -p SDO_EN = 0, (default=0)
-c a33 -d AC -r DA_CTL -p ASS = 0, (default=0)
-c a33 -d AC -r DA_CTL -p MS = 0, (default=0)
-c a33 -d AC -r DA_CTL -p PCM = 0, (default=0)
-c a33 -d AC -r DA_CTL -p LOOP = 0, (default=0)
-c a33 -d AC -r DA_CTL -p TXEN = 0, (default=0)
-c a33 -d AC -r DA_CTL -p RXEN = 0, (default=0)
-c a33 -d AC -r DA_CTL -p GEN = 0, (default=0)
-c a33 -d AC -r DA_FAT0 -p LRCP = 0, (default=0)
-c a33 -d AC -r DA_FAT0 -p BCP = 0, (default=0)
-c a33 -d AC -r DA_FAT0 -p SR = 0, (default=0)
-c a33 -d AC -r DA_FAT0 -p WSS = 0, (default=3)
-c a33 -d AC -r DA_FAT0 -p FMT = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p PCM_SYNC_PERIOD = 0, (default=4)
-c a33 -d AC -r DA_FAT1 -p PCM_SYNC_OUT = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p PCMOutMute = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p MLS = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p SEXT = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p SI = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p SW = 0, (default=1)
-c a33 -d AC -r DA_FAT1 -p SSYNC = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p RX_PDM = 0, (default=0)
-c a33 -d AC -r DA_FAT1 -p TX_PDM = 0, (default=0)
-c a33 -d AC -r DA_TXFIFO -p TX_DATA = 0, (default=0)
-c a33 -d AC -r DA_RXFIFO -p RX_DATA = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p FIFOSRC = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p FTX = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p FRX = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p TXTL = 0, (default=64)
